title,year,venue,type,co_authors
BGC-Argo float reveals shifts in nitrogen-carbon cycling in an oxygen-deficient zone,2026,Communications Earth & Environment,article,Mariana B. Bif; Colette L. Kelly; Mark A. Altabet; Annie Bourbonnais; Claire E. Elbon; Edgart Flores; Alanna Mnich; Josh N. Plant; Kenneth S. Johnson
Anaerobic methane oxidation by ANME-2a at two molar chloride in Orca Basin,2026,bioRxiv (Cold Spring Harbor Laboratory),preprint,Lea Adepoju; Jordan McKaig; Rebecca S. R. Salcedo; Aaron Martinez; Steffen Buessecker; Emilie J. Skoog; Claire E. Elbon; Emily R. Paris; Miguel Desmarais; Cathryn D. Sephus; Chad Pozarycki; Veronica Hegelein; Enrica Quartini; Amina T. Schartup; Peter T. Doran; Christopher E. Carr; Ellery D. Ingall; Douglas H. Bartlett; Ranjani Murali; M. R. Raven; Anne Dekas; Jeff S. Bowman; Britney Schmidt; J. Glass
BGC-Argo float reveals regime shifts in nitrogen-carbon cycling in an oxygen-deficient zone,2025,Research Square,preprint,Mariana B. Bif; Colette L. Kelly; Mark A. Altabet; Annie Bourbonnais; Claire E. Elbon; Edgart Flores; Alanna Mnich; Josh N. Plant; Kenneth S. Johnson
Novel Alphaproteobacteria transcribe genes for nitric oxide transformation at high levels in a marine oxygen-deficient zone,2024,Applied and Environmental Microbiology,article,Claire E. Elbon; Frank J. Stewart; Jennifer B. Glass
Correction: Microbiomes and Planctomycete diversity in large-scale aquaria habitats,2024,PLoS ONE,erratum,Claire E. Elbon; Gary R. LeCleir; Matthew J. Tuttle; Sophie Jurgensen; Thomas G. Demas; Christian J. Keller; T. Stewart; Alison Buchan
Rates of autotrophy peak in the anoxic interface of a deep hypersaline anoxic basin,2024,,conference-paper,Emily R. Paris; Chad Pozarycki; Andrew Mullen; Enrica Quartini; Jeff S. Bowman; Miguel Desmarais; Steffen Buessecker; Matthew Meister; Cathryn Sephus; Anne Dekas; Peter T. Doran; Jennifer B. Glass; Jordan McKaig; Veronica Hegelein; B. E. Schmidt; Ellery D. Ingall; Claire E. Elbon
Single-cell analysis in hypersaline brines predicts a water-activity limit of microbial anabolic activity,2023,Science Advances,article,Emily R. Paris; Néstor Arandia‐Gorostidi; Benjamin Klempay; Jeff S. Bowman; A. Pontefract; Claire E. Elbon; Jennifer B. Glass; Ellery D. Ingall; Peter T. Doran; Sanjoy M. Som; B. E. Schmidt; Anne Dekas
Novel Alphaproteobacteria transcribe genes for nitric oxide transformation at high levels in a marine oxygen deficient zone,2023,bioRxiv (Cold Spring Harbor Laboratory),preprint,Claire E. Elbon; Frank J. Stewart; Jennifer B. Glass
"Something old, something new, something borrowed, something blue: the anaerobic microbial ancestry of aerobic respiration",2022,Trends in Microbiology,article,Jennifer B. Glass; Claire E. Elbon; Loren Dean Williams
Microbiomes and Planctomycete diversity in large-scale aquaria habitats,2022,PLoS ONE,article,Claire E. Elbon; Gary R. LeCleir; Matthew J. Tuttle; Sophie Jurgensen; Thomas G. Demas; Christian J. Keller; T. Stewart; Alison Buchan
Microbe Hunters: Searching for Anammox Bacteria in the Tennessee Aquarium,2019,,article,Claire E. Elbon
